"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","company_industry","company_url","company_url_direct","company_addresses","company_num_employees","company_revenue","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type","searched_site","searched_location","search_term"
"in-e48919919baa430e","indeed","https://www.indeed.com/viewjob?jk=e48919919baa430e","https://app.jobvite.com/CompanyJobs/Job.aspx?j=oupzAfwM&loc=Cj2PYfwS&s=Indeed","Patching | Senior Software Engineer, Java","NinjaOne","Remote, US","2026-07-30","fulltime","direct_data","yearly",160000.0,240000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Ninjaone","https://www.ninjaone.com","
Austin, TX","","","","","","","","","indeed","Remote","junior software engineer"
"in-7294cb1ef508fb50","indeed","https://www.indeed.com/viewjob?jk=7294cb1ef508fb50","https://careers-millgroupinc.icims.com/jobs/3096/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f","AWS DevOps Engineer","Millennium Corporation","Remote, US","2026-07-30","fulltime","","","","","",True,"","","","","Government","https://www.indeed.com/cmp/Millennium-Corporation","http://www.millgroupinc.com/","1400 Crystal Dr. Ste 400","201 to 500","$25M to $100M (USD)","","","","","","","indeed","Remote","junior software engineer"
"in-71dd40a1445a2da5","indeed","https://www.indeed.com/viewjob?jk=71dd40a1445a2da5","https://app.trinethire.com/companies/294644-betterworks-systems-inc/jobs/123135-software-engineer-associate-ui-platform","Software Engineer, Associate (UI Platform)","betterworks","Menlo Park, CA, US","2026-07-30","fulltime","","","","","",True,"","","","","","https://www.indeed.com/cmp/Betterworks","http://www.betterworks.com","Menlo Park, CA","201 to 500","Decline to state","","","","","","","indeed","San Francisco, CA","software engineer internship"
"in-754b461aeaa984aa","indeed","https://www.indeed.com/viewjob?jk=754b461aeaa984aa","https://app.trinethire.com/companies/130621-curative-hr-llc/jobs/123102-software-engineer-l2-growth-marketing-platform?source=indeed","Software Engineer L2 - Growth Marketing Platform","Curative, Inc.","Austin, TX, US","2026-07-30","fulltime","","yearly","","","USD",True,"","","","","","https://www.indeed.com/cmp/Curative,-Inc.","https://curative.com/","Austin, TX","201 to 500","Decline to state","","","","","","","indeed","Austin, TX","junior software engineer"
"in-92b1cef209e4ea9d","indeed","https://www.indeed.com/viewjob?jk=92b1cef209e4ea9d","https://grnh.se/mk1r6lye1us","Software Engineer II - Full Stack (Remote Eligible)","Smartsheet","Bellevue, WA, US","2026-07-30","","direct_data","yearly",125000.0,175000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Smartsheet","http://www.smartsheet.com","Bellevue, WA","1,001 to 5,000","$100M to $500M (USD)","","","","","","","indeed","Seattle, WA","junior software engineer"
"in-0616bdb9155a1435","indeed","https://www.indeed.com/viewjob?jk=0616bdb9155a1435","https://app.jobvite.com/CompanyJobs/Job.aspx?j=oupzAfwM&loc=C3bMYfwI&s=Indeed","Patching | Senior Software Engineer, Java","NinjaOne","Remote, US","2026-07-30","fulltime","direct_data","yearly",160000.0,240000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Ninjaone","https://www.ninjaone.com","
Austin, TX","","","","","","","","","indeed","Remote","junior software engineer"
"in-4aecce9c7139e7c8","indeed","https://www.indeed.com/viewjob?jk=4aecce9c7139e7c8","https://providence.jobs/CE3092BBC57946B3A0BE31229C47F7F3/job/?vs=1554&utm_source=Indeed-DE&utm_medium=Job+Aggregator&utm_campaign=Indeed","Data Engineer I IS - Remote","Providence","Renton, WA, US","2026-07-30","fulltime","direct_data","hourly",34.0,81.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Providence-959155fe","http://www.providence.jobs","Renton, WA","10,000+","$100M to $500M (USD)","","","","","","","indeed","Seattle, WA","junior software engineer"
"in-181a80ce2b67f3fc","indeed","https://www.indeed.com/viewjob?jk=181a80ce2b67f3fc","https://providence.jobs/8A99ED2667724AF0A301BD08822B04B7/job/?vs=1554&utm_source=Indeed-DE&utm_medium=Job+Aggregator&utm_campaign=Indeed","Data Engineer I IS - Remote","Providence","Seattle, WA, US","2026-07-30","fulltime","direct_data","hourly",34.0,81.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Providence-959155fe","http://www.providence.jobs","Renton, WA","10,000+","$100M to $500M (USD)","","","","","","","indeed","Seattle, WA","junior software engineer"
"in-ddbd30062e3f3d35","indeed","https://www.indeed.com/viewjob?jk=ddbd30062e3f3d35","https://grnh.se/vzswjpj61us","Associate Solution Engineer - Mixed Industries - Commercial (West)","Talkdesk","Seattle, WA, US","2026-07-30","","","","","","",True,"","","","Talent@talkdesk.com","","https://www.indeed.com/cmp/Talkdesk","http://www.talkdesk.com","San Francisco, CA","1,001 to 5,000","Decline to state","","","","","","","indeed","Seattle, WA","software engineer internship"
"in-2ac45d2336f958fc","indeed","https://www.indeed.com/viewjob?jk=2ac45d2336f958fc","https://providence.jobs/894E0FA166CE4060ACFF03581731B65C/job/?vs=1554&utm_source=Indeed-DE&utm_medium=Job+Aggregator&utm_campaign=Indeed","Data Engineer I IS - Remote","Providence","Redmond, WA, US","2026-07-30","fulltime","direct_data","hourly",34.0,81.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Providence-959155fe","http://www.providence.jobs","Renton, WA","10,000+","$100M to $500M (USD)","","","","","","","indeed","Seattle, WA","junior software engineer"
"in-94f7c0af8ae0a8f1","indeed","https://www.indeed.com/viewjob?jk=94f7c0af8ae0a8f1","https://app.jobvite.com/CompanyJobs/Job.aspx?j=oupzAfwM&loc=CtkMYfwh&s=Indeed","Patching | Senior Software Engineer, Java","NinjaOne","Remote, US","2026-07-30","fulltime","direct_data","yearly",160000.0,240000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Ninjaone","https://www.ninjaone.com","
Austin, TX","","","","","","","","","indeed","Remote","junior software engineer"
"in-626853798a1162b2","indeed","https://www.indeed.com/viewjob?jk=626853798a1162b2","https://app.jobvite.com/CompanyJobs/Job.aspx?j=oupzAfwM&loc=C1bMYfwG&s=Indeed","Patching | Senior Software Engineer, Java","NinjaOne","Remote, US","2026-07-30","fulltime","direct_data","yearly",160000.0,240000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Ninjaone","https://www.ninjaone.com","
Austin, TX","","","","","","","","","indeed","Remote","junior software engineer"
"in-1fec3be32abfcec5","indeed","https://www.indeed.com/viewjob?jk=1fec3be32abfcec5","https://providence.jobs/BD88BD40D1E6469B9C43F65729128CAD/job/?vs=1554&utm_source=Indeed-DE&utm_medium=Job+Aggregator&utm_campaign=Indeed","Data Engineer I IS - Remote","Providence","Napa, CA, US","2026-07-30","fulltime","direct_data","hourly",34.0,81.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Providence-959155fe","http://www.providence.jobs","Renton, WA","10,000+","$100M to $500M (USD)","","","","","","","indeed","San Francisco, CA","junior software engineer"
"in-4681f0cdb58f43b4","indeed","https://www.indeed.com/viewjob?jk=4681f0cdb58f43b4","https://app.jobvite.com/CompanyJobs/Job.aspx?j=oupzAfwM&loc=CkZvYfww&s=Indeed","Patching | Senior Software Engineer, Java","NinjaOne","Remote, US","2026-07-30","fulltime","direct_data","yearly",160000.0,240000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Ninjaone","https://www.ninjaone.com","
Austin, TX","","","","","","","","","indeed","Remote","junior software engineer"
"in-ac9cc6fa43e17937","indeed","https://www.indeed.com/viewjob?jk=ac9cc6fa43e17937","https://app.jobvite.com/CompanyJobs/Job.aspx?j=oupzAfwM&loc=CfZvYfwr&s=Indeed","Patching | Senior Software Engineer, Java","NinjaOne","Remote, US","2026-07-30","fulltime","direct_data","yearly",160000.0,240000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Ninjaone","https://www.ninjaone.com","
Austin, TX","","","","","","","","","indeed","Remote","junior software engineer"
"li-4438264452","linkedin","https://www.linkedin.com/jobs/view/4438264452","","Junior JavaScript Developer - Remote work | REF#296996","BairesDev","","2026-07-30","","","","","","",True,"","","","","","https://www.linkedin.com/company/bairesdev","","","","","","","","","","","linkedin","Remote","junior software engineer"
"in-ae2a97f2c1fc8fe2","indeed","https://www.indeed.com/viewjob?jk=ae2a97f2c1fc8fe2","https://app.jobvite.com/CompanyJobs/Job.aspx?j=oupzAfwM&loc=CgZvYfws&s=Indeed","Patching | Senior Software Engineer, Java","NinjaOne","Remote, US","2026-07-30","fulltime","direct_data","yearly",160000.0,240000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Ninjaone","https://www.ninjaone.com","
Austin, TX","","","","","","","","","indeed","Remote","junior software engineer"
"in-c3f29c88ba14afad","indeed","https://www.indeed.com/viewjob?jk=c3f29c88ba14afad","https://app.jobvite.com/CompanyJobs/Job.aspx?j=oupzAfwM&loc=C2bMYfwH&s=Indeed","Patching | Senior Software Engineer, Java","NinjaOne","Remote, US","2026-07-30","fulltime","direct_data","yearly",160000.0,240000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Ninjaone","https://www.ninjaone.com","
Austin, TX","","","","","","","","","indeed","Remote","junior software engineer"
"in-ee33336ecc33d225","indeed","https://www.indeed.com/viewjob?jk=ee33336ecc33d225","https://app.jobvite.com/CompanyJobs/Job.aspx?j=oupzAfwM&loc=CiZvYfwu&s=Indeed","Patching | Senior Software Engineer, Java","NinjaOne","Remote, US","2026-07-30","fulltime","direct_data","yearly",160000.0,240000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Ninjaone","https://www.ninjaone.com","
Austin, TX","","","","","","","","","indeed","Remote","junior software engineer"
"in-db49c0a5282e6897","indeed","https://www.indeed.com/viewjob?jk=db49c0a5282e6897","https://app.jobvite.com/CompanyJobs/Job.aspx?j=oupzAfwM&loc=CjZvYfwv&s=Indeed","Patching | Senior Software Engineer, Java","NinjaOne","Remote, US","2026-07-30","fulltime","direct_data","yearly",160000.0,240000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Ninjaone","https://www.ninjaone.com","
Austin, TX","","","","","","","","","indeed","Remote","junior software engineer"
"in-d75f1e0acc97b33f","indeed","https://www.indeed.com/viewjob?jk=d75f1e0acc97b33f","https://app.jobvite.com/CompanyJobs/Job.aspx?j=oupzAfwM&loc=ChZvYfwt&s=Indeed","Patching | Senior Software Engineer, Java","NinjaOne","Remote, US","2026-07-30","fulltime","direct_data","yearly",160000.0,240000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Ninjaone","https://www.ninjaone.com","
Austin, TX","","","","","","","","","indeed","Remote","junior software engineer"
"in-8b434bb5406d5b2c","indeed","https://www.indeed.com/viewjob?jk=8b434bb5406d5b2c","https://app.jobvite.com/CompanyJobs/Job.aspx?j=oupzAfwM&loc=ClZvYfwx&s=Indeed","Patching | Senior Software Engineer, Java","NinjaOne","Remote, US","2026-07-30","fulltime","direct_data","yearly",160000.0,240000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Ninjaone","https://www.ninjaone.com","
Austin, TX","","","","","","","","","indeed","Remote","junior software engineer"
"in-70c9f7894900c12b","indeed","https://www.indeed.com/viewjob?jk=70c9f7894900c12b","https://app.jobvite.com/CompanyJobs/Job.aspx?j=oupzAfwM&loc=CVbMYfwA&s=Indeed","Patching | Senior Software Engineer, Java","NinjaOne","Remote, US","2026-07-30","fulltime","direct_data","yearly",160000.0,240000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Ninjaone","https://www.ninjaone.com","
Austin, TX","","","","","","","","","indeed","Remote","junior software engineer"
"in-132c54d35d2d38fe","indeed","https://www.indeed.com/viewjob?jk=132c54d35d2d38fe","https://app.jobvite.com/CompanyJobs/Job.aspx?j=oupzAfwM&loc=CWbMYfwB&s=Indeed","Patching | Senior Software Engineer, Java","NinjaOne","Remote, US","2026-07-30","fulltime","direct_data","yearly",160000.0,240000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Ninjaone","https://www.ninjaone.com","
Austin, TX","","","","","","","","","indeed","Remote","junior software engineer"
"in-dbff153e2763a5f1","indeed","https://www.indeed.com/viewjob?jk=dbff153e2763a5f1","https://app.jobvite.com/CompanyJobs/Job.aspx?j=oupzAfwM&loc=CYbMYfwD&s=Indeed","Patching | Senior Software Engineer, Java","NinjaOne","Remote, US","2026-07-30","fulltime","direct_data","yearly",160000.0,240000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Ninjaone","https://www.ninjaone.com","
Austin, TX","","","","","","","","","indeed","Remote","junior software engineer"
"in-18b48be79c244c04","indeed","https://www.indeed.com/viewjob?jk=18b48be79c244c04","https://app.jobvite.com/CompanyJobs/Job.aspx?j=oupzAfwM&loc=CXbMYfwC&s=Indeed","Patching | Senior Software Engineer, Java","NinjaOne","Remote, US","2026-07-30","fulltime","direct_data","yearly",160000.0,240000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Ninjaone","https://www.ninjaone.com","
Austin, TX","","","","","","","","","indeed","Remote","junior software engineer"
"in-2c5c50af4c66bd51","indeed","https://www.indeed.com/viewjob?jk=2c5c50af4c66bd51","https://app.jobvite.com/CompanyJobs/Job.aspx?j=oupzAfwM&loc=CZbMYfwE&s=Indeed","Patching | Senior Software Engineer, Java","NinjaOne","Remote, US","2026-07-30","fulltime","direct_data","yearly",160000.0,240000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Ninjaone","https://www.ninjaone.com","
Austin, TX","","","","","","","","","indeed","Remote","junior software engineer"
"in-eb02a9962e86a871","indeed","https://www.indeed.com/viewjob?jk=eb02a9962e86a871","https://app.jobvite.com/CompanyJobs/Job.aspx?j=oupzAfwM&loc=C0bMYfwF&s=Indeed","Patching | Senior Software Engineer, Java","NinjaOne","Remote, US","2026-07-30","fulltime","direct_data","yearly",160000.0,240000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Ninjaone","https://www.ninjaone.com","
Austin, TX","","","","","","","","","indeed","Remote","junior software engineer"
"in-851944cc796e4197","indeed","https://www.indeed.com/viewjob?jk=851944cc796e4197","https://jobs.ashbyhq.com/Flock%20Safety/c0073d1d-7da9-4e12-ac9f-61d68118280f","Senior Software Engineer, Pipeline","Flock Safety","Remote, US","2026-07-29","fulltime","direct_data","yearly",172000.0,200000.0,"USD",True,"","","","recruiting@flocksafety.com, noreply@ashbyhq.com, recruiting@flocksafety.com","","https://www.indeed.com/cmp/Flock-Safety","https://www.flocksafety.com","Atlanta","11 to 50","","","","","","","","indeed","Remote","junior software engineer"
"in-db86cdef8046c111","indeed","https://www.indeed.com/viewjob?jk=db86cdef8046c111","https://jobs.lever.co/zerocarbonsystems/e917811e-8f21-4183-8954-452173d47cb1?lever-source=Indeed","Senior Mechanical Engineer","","Remote, US","2026-07-29","fulltime","direct_data","yearly",140000.0,160000.0,"USD",True,"","","","","","","","","","","","","","","","","indeed","Remote","junior software engineer"
"in-38155ab91e9fd9a6","indeed","https://www.indeed.com/viewjob?jk=38155ab91e9fd9a6","https://app.jobvite.com/CompanyJobs/Job.aspx?j=ohZizfwR&loc=Cj2PYfwS&s=Indeed","Patching | Senior Software Engineer, Java","NinjaOne","Remote, US","2026-07-29","fulltime","direct_data","yearly",160000.0,240000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Ninjaone","https://www.ninjaone.com","
Austin, TX","","","","","","","","","indeed","Remote","junior software engineer"
"in-053d5ad4cd346113","indeed","https://www.indeed.com/viewjob?jk=053d5ad4cd346113","https://grnh.se/cn4aq5hm8us","Staff AI Engineer","Robots & Pencils","Remote, US","2026-07-29","","direct_data","yearly",177375.0,209625.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Robots-&-Pencils-3","https://www.robotsandpencils.com","Calgary, AB","51 to 200","Decline to state","","","","","","","indeed","Remote","junior software engineer"
"in-c898e862f792a9b9","indeed","https://www.indeed.com/viewjob?jk=c898e862f792a9b9","http://www.indeed.com/job/lead-structural-engineer-c898e862f792a9b9","Lead Structural Engineer","Precision Partners","Remote, US","2026-07-29","fulltime","direct_data","yearly",100000.0,120000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Precision-Partners","http://www.precisionpartnersinc.com","Hazlet, NJ","501 to 1,000","less than $1M (USD)","","","","","","","indeed","Remote","junior software engineer"
"in-97f188538750c90c","indeed","https://www.indeed.com/viewjob?jk=97f188538750c90c","https://jobs.lever.co/BlueMatrix/105b45d9-a5ac-45c2-8acc-f38b10b8afda?lever-source=Indeed","Software Engineer","bluematrix","Remote, US","2026-07-29","fulltime","","","","","",True,"","","","","","https://www.indeed.com/cmp/Bluematrix","http://www.bluematrix.com","New York","51 to 200","","","","","","","","indeed","Remote","junior software engineer"
"in-0f036831c829fb8c","indeed","https://www.indeed.com/viewjob?jk=0f036831c829fb8c","https://app.jobvite.com/CompanyJobs/Job.aspx?j=oAPwAfwf&s=Indeed","Senior Salesforce Developer","Synergy BIS","Remote, US","2026-07-29","fulltime","direct_data","yearly",163000.0,196000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Synergy-Bis","https://www.synergybis.com/","Reston, VA","501 to 1,000","$100M to $500M (USD)","","","","","","","indeed","Remote","junior software engineer"
"in-6146b6321dec02e9","indeed","https://www.indeed.com/viewjob?jk=6146b6321dec02e9","https://careers.cognizant.com/global-en/jobs/00069909031/cloud-architect/","Cloud Architect","Cognizant","New York, NY, US","2026-07-29","fulltime","","yearly","","","USD",True,"","","","","","https://www.indeed.com/cmp/Cognizant-f7abe767","https://www.cognizant.com/","","10,000+","more than $10B (USD)","","","","","","","indeed","New York, NY","junior software engineer"
"in-713cb5cc9ea9ee2d","indeed","https://www.indeed.com/viewjob?jk=713cb5cc9ea9ee2d","http://www.indeed.com/job/software-engineer-713cb5cc9ea9ee2d","Software Engineer","Calimontex Technologies LLC","Remote, US","2026-07-29","fulltime","","","","","",True,"","","","","","https://www.indeed.com/cmp/Calimontex-Technologies-LLC","","","","","","","","","","","indeed","Remote","backend engineer internship"
"in-25edfb6d7b58777c","indeed","https://www.indeed.com/viewjob?jk=25edfb6d7b58777c","https://grnh.se/ikh5svn44us","Senior Software Engineer","Talkspace","New York, NY, US","2026-07-29","","direct_data","yearly",146000.0,180000.0,"USD",True,"","","","","","https://www.indeed.com/cmp/Talkspace","https://www.talkspace.com/","622 3rd Avenue New York, NY 10017","201 to 500","$100M to $500M (USD)","","","","","","","indeed","New York, NY","junior software engineer"
